frame,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2
0,0.0,1,1,yellow_stone,0.9398133754730225,1097.9593505859375,408.77203369140625,1211.5953369140625,517.807373046875
0,0.0,2,1,yellow_stone,0.927552342414856,900.4598388671875,605.04248046875,1015.287109375,711.1240234375
1,0.016683333333333335,1,1,yellow_stone,0.9397192597389221,1097.3157958984375,410.25238037109375,1208.94873046875,517.4403686523438
1,0.016683333333333335,2,1,yellow_stone,0.9095579385757446,903.5216674804688,602.96533203125,1012.2562866210938,703.33447265625
2,0.03336666666666667,1,1,yellow_stone,0.8743880391120911,1099.9598388671875,412.60308837890625,1205.1429443359375,513.5289306640625
2,0.03336666666666667,2,1,yellow_stone,0.9077584743499756,895.4951171875,596.84912109375,1014.7943115234375,707.1618041992188
2,0.03336666666666667,1,0,red_stone,0.8999184966087341,972.8453369140625,138.23141479492188,1058.488525390625,221.22152709960938
3,0.050050000000000004,1,1,yellow_stone,0.9105401635169983,1095.9708251953125,410.6673889160156,1207.8099365234375,518.0975952148438
3,0.050050000000000004,2,1,yellow_stone,0.8976810574531555,892.3250732421875,589.714599609375,1019.0594482421875,707.2218017578125
3,0.050050000000000004,1,0,red_stone,0.9393355250358582,972.9017944335938,146.1532440185547,1050.5806884765625,221.25921630859375
4,0.06673333333333334,1,1,yellow_stone,0.886570155620575,1099.906982421875,414.652099609375,1203.2103271484375,513.563720703125
4,0.06673333333333334,2,1,yellow_stone,0.9089345932006836,896.7347412109375,586.1817016601562,1014.1644897460938,695.0787963867188
4,0.06673333333333334,1,0,red_stone,0.9264590740203857,974.4381713867188,154.7731475830078,1045.6568603515625,223.1896514892578
4,0.06673333333333334,2,0,red_stone,0.8903424739837646,1029.28369140625,278.6537170410156,1133.8759765625,375.24560546875
5,0.08341666666666667,1,1,yellow_stone,0.8643012642860413,1099.831787109375,416.3870544433594,1200.436279296875,512.4945678710938
