frame,timestamp_sec,class_id,class_name,confidence,x1,y1,x2,y2
0,0.0,1,yellow_stone,0.9398133754730225,1097.9593505859375,408.77203369140625,1211.5953369140625,517.807373046875
0,0.0,1,yellow_stone,0.927552342414856,900.4598388671875,605.04248046875,1015.287109375,711.1240234375
1,0.016683333333333335,1,yellow_stone,0.9397192597389221,1099.1533203125,410.47796630859375,1206.60986328125,517.3844604492188
1,0.016683333333333335,1,yellow_stone,0.9095579385757446,901.7467041015625,602.6488037109375,1014.0360107421875,702.1474609375
1,0.016683333333333335,0,red_stone,0.8828665614128113,971.7593994140625,133.6067352294922,1062.1142578125,221.17776489257812
2,0.03336666666666667,1,yellow_stone,0.9077584743499756,896.8471069335938,595.4219970703125,1012.0471801757812,708.604248046875
2,0.03336666666666667,0,red_stone,0.8999184966087341,972.3883056640625,139.38760375976562,1058.310546875,221.2324676513672
2,0.03336666666666667,1,yellow_stone,0.8743880391120911,1099.537841796875,413.14990234375,1205.46142578125,512.4824829101562
3,0.050050000000000004,0,red_stone,0.9393355250358582,968.7469482421875,148.3352508544922,1052.572998046875,221.26959228515625
3,0.050050000000000004,1,yellow_stone,0.9105401635169983,1096.2393798828125,409.8337097167969,1207.4398193359375,519.7669677734375
3,0.050050000000000004,1,yellow_stone,0.8976810574531555,896.7222290039062,588.1600341796875,1015.918212890625,707.0364990234375
3,0.050050000000000004,0,red_stone,0.863212525844574,1029.66064453125,279.84747314453125,1132.4140625,374.769775390625
4,0.06673333333333334,0,red_stone,0.9264590740203857,967.105712890625,155.8041229248047,1053.0694580078125,223.59837341308594
4,0.06673333333333334,1,yellow_stone,0.9089345932006836,900.0789184570312,586.5177001953125,1011.1063842773438,689.8197021484375
4,0.06673333333333334,0,red_stone,0.8903424739837646,1027.603759765625,278.35528564453125,1135.8271484375,375.36456298828125
4,0.06673333333333334,1,yellow_stone,0.886570155620575,1098.4111328125,416.159912109375,1204.86572265625,511.5985107421875
5,0.08341666666666667,0,red_stone,0.9193308353424072,1030.875732421875,279.4408264160156,1135.405517578125,375.9985656738281
5,0.08341666666666667,1,yellow_stone,0.9179757833480835,901.79541015625,579.9384155273438,1013.228271484375,676.106201171875
5,0.08341666666666667,0,red_stone,0.8774803876876831,969.8915405273438,160.18881225585938,1049.2724609375,222.09677124023438
5,0.08341666666666667,1,yellow_stone,0.8643012642860413,1097.5762939453125,416.5882873535156,1202.039794921875,512.4163818359375
