frame,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,cx,cy,pixels_per_cm,house_cx_px,house_cy_px
0,0.0,1,1,yellow_stone,0.9398133754730225,439.183740234375,163.5088134765625,484.638134765625,207.12294921875,461.9109375,185.31588134765624,2.5,-1.0,-1.0
0,0.0,2,1,yellow_stone,0.927552342414856,360.183935546875,242.0169921875,406.11484375,284.449609375,383.1493896484375,263.23330078125,2.5,-1.0,-1.0
1,0.016683333333333335,1,1,yellow_stone,0.9397192597389221,438.926318359375,164.1009521484375,483.5794921875,206.9761474609375,461.2529052734375,185.5385498046875,2.5,-1.0,-1.0
1,0.016683333333333335,2,1,yellow_stone,0.9095579385757446,361.4086669921875,241.1861328125,404.9025146484375,281.3337890625,383.1555908203125,261.2599609375,2.5,-1.0,-1.0
2,0.03336666666666667,1,1,yellow_stone,0.8743880391120911,439.983935546875,165.0412353515625,482.057177734375,205.411572265625,461.020556640625,185.22640380859374,2.5,-1.0,-1.0
2,0.03336666666666667,2,1,yellow_stone,0.9077584743499756,358.198046875,238.7396484375,405.917724609375,282.8647216796875,382.0578857421875,260.80218505859375,2.5,-1.0,-1.0
2,0.03336666666666667,1,0,red_stone,0.8999184966087341,389.138134765625,55.29256591796875,423.39541015625,88.48861083984374,406.2667724609375,71.89058837890624,2.5,-1.0,-1.0
3,0.050050000000000004,1,1,yellow_stone,0.9105401635169983,438.388330078125,164.26695556640624,483.123974609375,207.2390380859375,460.75615234375,185.75299682617188,2.5,-1.0,-1.0
3,0.050050000000000004,2,1,yellow_stone,0.8976810574531555,356.930029296875,235.88583984375,407.623779296875,282.888720703125,382.276904296875,259.3872802734375,2.5,-1.0,-1.0
3,0.050050000000000004,1,0,red_stone,0.9393355250358582,389.1607177734375,58.461297607421876,420.232275390625,88.5036865234375,404.6964965820313,73.48249206542968,2.5,-1.0,-1.0
4,0.06673333333333334,1,1,yellow_stone,0.886570155620575,439.96279296875,165.86083984375,481.284130859375,205.42548828125,460.6234619140625,185.6431640625,2.5,-1.0,-1.0
4,0.06673333333333334,2,1,yellow_stone,0.9089345932006836,358.693896484375,234.4726806640625,405.6657958984375,278.0315185546875,382.1798461914062,256.252099609375,2.5,-1.0,-1.0
4,0.06673333333333334,1,0,red_stone,0.9264590740203857,389.7752685546875,61.90925903320313,418.262744140625,89.27586059570312,404.0190063476563,75.59255981445312,2.5,-1.0,-1.0
4,0.06673333333333334,2,0,red_stone,0.8903424739837646,411.7134765625,111.46148681640625,453.550390625,150.0982421875,432.63193359375,130.7798645019531,2.5,-1.0,-1.0
5,0.08341666666666667,1,1,yellow_stone,0.8643012642860413,439.93271484375,166.55482177734376,480.17451171875,204.9978271484375,460.05361328125,185.7763244628906,2.5,-1.0,-1.0
5,0.08341666666666667,2,1,yellow_stone,0.9179757833480835,361.0708984375,232.2068603515625,404.3783203125,272.2115478515625,382.724609375,252.2092041015625,2.5,-1.0,-1.0
5,0.08341666666666667,1,0,red_stone,0.8774803876876831,390.6675048828125,64.11011352539063,416.78935546875,88.9894287109375,403.7284301757812,76.54977111816406,2.5,-1.0,-1.0
5,0.08341666666666667,2,0,red_stone,0.9193308353424072,412.197705078125,111.70279541015626,454.02314453125,150.3290771484375,433.1104248046875,131.01593627929688,2.5,-1.0,-1.0
6,0.10010000000000001,1,1,yellow_stone,0.9020136594772339,439.580419921875,165.87215576171874,480.555078125,204.9698486328125,460.0677490234375,185.42100219726564,2.5,-1.0,-1.0
6,0.10010000000000001,2,1,yellow_stone,0.9130762815475464,359.9631103515625,229.8551025390625,405.2249267578125,271.67578125,382.5940185546875,250.76544189453125,2.5,-1.0,-1.0
6,0.10010000000000001,2,0,red_stone,0.8873488903045654,412.02861328125,110.5556640625,455.431298828125,150.646875,433.7299560546875,130.60126953125,2.5,-1.0,-1.0
7,0.11678333333333334,1,1,yellow_stone,0.915070116519928,439.0251953125,165.04366455078124,480.5771484375,204.71082763671876,459.801171875,184.87724609375,2.5,-1.0,-1.0
7,0.11678333333333334,2,1,yellow_stone,0.9116833209991455,358.216357421875,227.24365234375,406.8900146484375,272.4306396484375,382.5531860351563,249.83714599609374,2.5,-1.0,-1.0
7,0.11678333333333334,2,0,red_stone,0.8927631378173828,413.60693359375,112.30089111328125,456.196826171875,151.66578369140626,434.9018798828125,131.98333740234375,2.5,-1.0,-1.0
8,0.13346666666666668,1,1,yellow_stone,0.9281226396560669,438.685791015625,164.68284912109374,481.836865234375,205.9787353515625,460.261328125,185.33079223632814,2.5,-1.0,-1.0
8,0.13346666666666668,2,1,yellow_stone,0.9129714369773865,357.7464599609375,225.6084228515625,407.1353515625,271.628076171875,382.44090576171874,248.61824951171874,2.5,-1.0,-1.0
8,0.13346666666666668,2,0,red_stone,0.8668758273124695,414.9259765625,114.135693359375,457.007568359375,153.02403564453124,435.9667724609375,133.57986450195312,2.5,-1.0,-1.0
8,0.13346666666666668,1,0,red_stone,0.8696155548095703,391.4301025390625,60.31962280273437,423.1888671875,90.39937744140624,407.3094848632812,75.35950012207032,2.5,-1.0,-1.0
9,0.15015,1,1,yellow_stone,0.92817223072052,437.4564453125,164.1075439453125,482.178759765625,206.999462890625,459.8176025390625,185.55350341796876,2.5,-1.0,-1.0
9,0.15015,2,1,yellow_stone,0.8998112082481384,360.318701171875,224.56572265625,405.28349609375,266.3336669921875,382.8010986328125,245.44969482421874,2.5,-1.0,-1.0
9,0.15015,2,0,red_stone,0.8772363662719727,415.478271484375,114.38123779296875,458.769091796875,154.41126708984376,437.123681640625,134.39625244140626,2.5,-1.0,-1.0
10,0.16683333333333333,1,1,yellow_stone,0.8981202244758606,437.265234375,164.80286865234376,482.1703125,207.9686279296875,459.7177734375,186.38574829101563,2.5,-1.0,-1.0
10,0.16683333333333333,2,1,yellow_stone,0.8956544995307922,362.37763671875,222.848291015625,403.514697265625,260.8477783203125,382.9461669921875,241.84803466796876,2.5,-1.0,-1.0
