frame,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,cx,cy,pixels_per_cm,house_cx_px,house_cy_px,origin_x_px,origin_y_px
0,0.0,1,1,yellow_stone,0.9398133754730225,55.183740234375,147.5088134765625,100.638134765625,191.12294921875,77.9109375,169.31588134765624,2.5,-1.0,-1.0,960.0,40.0
0,0.0,2,1,yellow_stone,0.927552342414856,-23.816064453125,226.0169921875,22.11484375,268.449609375,-0.8506103515625,247.23330078125,2.5,-1.0,-1.0,960.0,40.0
1,0.016683333333333335,1,1,yellow_stone,0.9397192597389221,54.926318359375,148.1009521484375,99.5794921875,190.9761474609375,77.2529052734375,169.5385498046875,2.5,-1.0,-1.0,960.0,40.0
1,0.016683333333333335,2,1,yellow_stone,0.9095579385757446,-22.5913330078125,225.1861328125,20.9025146484375,265.3337890625,-0.8444091796875,245.2599609375,2.5,-1.0,-1.0,960.0,40.0
2,0.03336666666666667,2,1,yellow_stone,0.9077584743499756,-25.801953125,222.7396484375,21.917724609375,266.8647216796875,-1.9421142578125,244.80218505859375,2.5,-1.0,-1.0,960.0,40.0
3,0.050050000000000004,1,1,yellow_stone,0.9105401635169983,53.94892578125,147.96953125,99.56337890625,191.8158203125,76.75615234375,169.89267578125,2.5,-1.0,-1.0,960.0,40.0
4,0.06673333333333334,1,0,red_stone,0.9264590740203857,4.244677734375,45.72413940429688,35.9169921875,73.25304565429687,20.0808349609375,59.488592529296874,2.5,-1.0,-1.0,960.0,40.0
4,0.06673333333333334,2,1,yellow_stone,0.9089345932006836,-24.5640380859375,218.9523681640625,20.7322509765625,260.8486328125,-1.9158935546875,239.90050048828124,2.5,-1.0,-1.0,960.0,40.0
5,0.08341666666666667,2,1,yellow_stone,0.9179757833480835,-22.4811279296875,216.45419921875,19.9318603515625,255.5336669921875,-1.2746337890625,235.99393310546876,2.5,-1.0,-1.0,960.0,40.0
6,0.10010000000000001,2,1,yellow_stone,0.9130762815475464,-23.821875,214.0322998046875,21.01357421875,255.3607421875,-1.404150390625,234.69652099609374,2.5,-1.0,-1.0,960.0,40.0
